dataset,rec,lead,seg,t0_s,n_gt,TP,FP,FN,F1,lead_F1,sampen,kurtosis,spec_entropy,band_ratio,rr_cv,rr_plaus,bsqi,n_det,psd_fhr,tau_acf,peak_prob_mean,prob_max,p_bad,p_bad_kind,level
adfecgdb,r01,1,10,40.0,9,9,0,0,100.0,99.92242048099301,0.8525158014614022,5.835491226610689,0.7500480132341792,0.39915285491242913,0.007285499043981332,1.0,1.0,9.0,0.07759831201481768,3.0,0.9979788859685262,0.9990816116333008,0.0005123028318981695,oof,xanh
adfecgdb,r01,1,11,44.0,8,8,0,0,100.0,99.92242048099301,0.926101923723813,6.690270184858159,0.7526419978208209,0.43670955577978615,0.011095824927230314,1.0,1.0,8.0,0.09480661554905255,3.0,0.9981141313910484,0.9992609620094299,0.011330005104519335,oof,xanh
adfecgdb,r01,1,12,48.0,9,9,0,0,100.0,99.92242048099301,0.8631952605241737,4.587466735474349,0.7599061929922531,0.37636274000809755,0.010225653567809117,1.0,1.0,9.0,0.12553294661910408,3.0,0.9978831542862786,0.9988736510276794,0.0007271587480407643,oof,xanh
adfecgdb,r01,1,13,52.0,8,8,0,0,100.0,99.92242048099301,0.921490902876771,5.902298679792063,0.7468516493014147,0.41964803712182874,0.006018402316407651,1.0,0.875,8.0,0.12487288378443707,3.0,0.9982019923627377,0.999278724193573,0.0017958666187189555,oof,xanh
adfecgdb,r01,1,14,56.0,9,9,0,0,100.0,99.92242048099301,0.8578703879965083,5.999308671781225,0.7479308579192407,0.3729150613751715,0.00836497482980354,1.0,0.7777777777777778,9.0,0.04457413624715614,3.0,0.9981891777780321,0.9992313385009766,0.0009824951994504675,oof,xanh
adfecgdb,r01,1,15,60.0,9,9,0,0,100.0,99.92242048099301,0.9052138725915642,4.117429249320795,0.7438067789692069,0.10258970562158373,0.00858369098710603,1.0,0.7777777777777778,9.0,0.05790513753925657,3.0,0.9981053007973565,0.9991324543952942,0.0011537465573685968,oof,xanh
adfecgdb,r01,1,16,64.0,8,8,0,0,100.0,99.92242048099301,0.9823268410379417,3.3267489304140874,0.7356321431042483,0.083784203468647,0.010215629139588341,1.0,1.0,8.0,0.12118414072879108,3.0,0.9971412643790245,0.9993743300437927,0.021067896508343533,oof,xanh
adfecgdb,r01,1,17,68.0,9,9,0,0,100.0,99.92242048099301,1.0592215370339713,3.38444653328514,0.7589309752216016,0.13944033058005784,0.011070089167611121,1.0,1.0,9.0,0.13383342571928092,3.0,0.9973185890250735,0.9990436434745789,0.004587321351978317,oof,xanh
adfecgdb,r01,1,18,72.0,8,8,0,0,100.0,99.92242048099301,0.9595284109288011,5.96506280912052,0.757807617766617,0.17541571340677278,0.013432483384362502,1.0,1.0,8.0,0.08162038568816432,3.0,0.9974731653928757,0.9985799491405487,0.0077184116530859955,oof,xanh
adfecgdb,r01,1,19,76.0,8,8,0,0,100.0,99.92242048099301,0.8878844777144219,4.3642185383580365,0.7629818094160031,0.15739767856909012,0.005641260791170422,1.0,0.9411764705882353,9.0,0.1366848922070557,3.0,0.9961041808128357,0.9991045594215393,0.0013167256332405684,oof,xanh
adfecgdb,r01,1,20,80.0,9,9,0,0,100.0,99.92242048099301,0.6748592532382677,32.90332043073129,0.7057941982009805,0.10635711959585345,0.026639101622985096,1.0,0.2222222222222222,8.0,0.07909340235314112,4.0,0.9945953190326691,0.9992523789405823,0.0005106135293648106,oof,xanh
adfecgdb,r01,1,21,84.0,8,8,0,0,100.0,99.92242048099301,0.6225525371066084,39.12753357368613,0.6762420871625692,0.11698726268480578,0.010763263429579197,1.0,0.2222222222222222,8.0,0.05644288395767174,4.0,0.9974559433758259,0.9987307190895081,0.0010171416287058982,oof,xanh
adfecgdb,r01,1,22,88.0,9,9,0,0,100.0,99.92242048099301,0.9051001019746469,4.43709430217213,0.7581480467537913,0.31816833116564225,0.011678163388146423,1.0,0.9411764705882353,9.0,0.13370892880802804,3.0,0.9977807369497087,0.9991173148155212,0.0015766742162065905,oof,xanh
adfecgdb,r01,1,23,92.0,8,8,0,0,100.0,99.92242048099301,0.8733346415686968,5.630077105703146,0.7527560558121579,0.3226170258547036,0.008983571156701285,1.0,0.875,8.0,0.13593569372365025,3.0,0.9976129867136478,0.9987592697143555,0.0011337501721718423,oof,xanh
adfecgdb,r01,1,24,96.0,8,8,0,0,100.0,99.92242048099301,0.7620478283120508,7.219023060961987,0.7494354118620299,0.2371718798107031,0.01781741612745783,1.0,0.6666666666666666,8.0,0.03986179625839676,3.0,0.9934849701821804,0.9989305138587952,0.010599182927280258,oof,xanh
adfecgdb,r01,1,25,100.0,9,9,0,0,100.0,99.92242048099301,0.7775397868225874,11.057255497203554,0.7616704814083175,0.36896022900920633,0.014555048803069221,1.0,0.9411764705882353,9.0,0.1093659033397565,3.0,0.9936175445715586,0.9988619089126587,0.000733615528123378,oof,xanh
adfecgdb,r01,1,26,104.0,8,8,0,0,100.0,99.92242048099301,0.726473469380454,10.056584580605271,0.7433915980528796,0.42623499164160533,0.006150807615901085,1.0,1.0,8.0,0.15667774133765622,3.0,0.9982730709016323,0.998925119638443,0.0005246580497096437,oof,xanh
adfecgdb,r01,1,27,108.0,9,9,0,0,100.0,99.92242048099301,0.7073090348810928,9.018761035016118,0.7526095123866693,0.39753917606543676,0.0058669803612416156,1.0,0.8888888888888888,9.0,0.08271531124493448,3.0,0.9977342320813073,0.9987741112709045,0.0004874707471309862,oof,xanh
adfecgdb,r01,1,28,112.0,8,8,0,0,100.0,99.92242048099301,0.798856277762568,8.029779237214786,0.7479466642743443,0.3757734329963909,0.010019697753606024,1.0,0.875,8.0,0.09267291444962016,3.0,0.9980263374745846,0.9988996982574463,0.002102840779373339,oof,xanh
adfecgdb,r01,1,29,116.0,9,9,0,0,100.0,99.92242048099301,0.7542456885539742,8.066994240770345,0.752291408690852,0.4152048412558208,0.008434913850347356,1.0,1.0,9.0,0.09443157776100589,3.0,0.9963210854265425,0.9992483258247375,0.0020933672078057054,oof,xanh
adfecgdb,r01,1,30,120.0,8,8,0,0,100.0,99.92242048099301,0.7286245566103152,8.761086551671777,0.7441994582621505,0.45986042705188157,0.0059670882893494235,1.0,1.0,8.0,0.13352295754146243,3.0,0.9980367124080658,0.9987419843673706,0.0020209300364915656,oof,xanh
adfecgdb,r01,1,31,124.0,9,9,0,0,100.0,99.92242048099301,0.7746233338802622,9.741116858224544,0.7616980652864108,0.437557497104074,0.01166707178033406,1.0,1.0,9.0,0.1420923414879089,3.0,0.9983698957496219,0.999040424823761,0.0007894516061924752,oof,xanh
adfecgdb,r01,1,32,128.0,8,8,0,0,100.0,99.92242048099301,0.8689738022033517,7.853025910963627,0.7592882192208876,0.3988197624231454,0.012853049609900736,1.0,1.0,8.0,0.1772944696968597,3.0,0.998199000954628,0.9991587400436401,0.0006947383747730343,oof,xanh
adfecgdb,r01,1,33,132.0,9,9,0,0,100.0,99.92242048099301,0.7523754424560612,12.010796323841596,0.7595802420093246,0.4266144901752103,0.00786447347516425,1.0,1.0,9.0,0.1486272543272271,3.0,0.9983722203307681,0.9989002048969269,0.0001837681272750649,oof,xanh
adfecgdb,r01,1,34,136.0,8,8,0,0,100.0,99.92242048099301,0.7020108097373065,11.500710084377296,0.7489461248802102,0.3828870342962166,0.0064609311625370485,1.0,1.0,8.0,0.11525838036894863,3.0,0.9987482279539108,0.9995057582855225,0.00087555530529879,oof,xanh
adfecgdb,r01,1,35,140.0,9,9,0,0,100.0,99.92242048099301,0.7102600228217912,10.591902304179829,0.7558807774969617,0.3568795739212495,0.005980412849428642,1.0,1.0,9.0,0.10961991953750004,3.0,0.9986815022097694,0.9992570281028748,0.00011682684392604151,oof,xanh
adfecgdb,r01,1,36,144.0,9,9,0,0,100.0,99.92242048099301,0.6441430745105745,11.168238010966148,0.7446332146144814,0.3755675645710964,0.00746573623950494,1.0,0.8235294117647058,9.0,0.09840111127183429,3.0,0.9969142774740855,0.998735249042511,0.0002696815585594343,oof,xanh
adfecgdb,r01,1,37,148.0,8,8,0,0,100.0,99.92242048099301,0.8806194054496034,11.210244585866477,0.7610085391308876,0.355704628096816,0.010484461485366437,1.0,1.0,8.0,0.17697505148713008,3.0,0.9944091066718102,0.9992602467536926,0.0008953088193772923,oof,xanh
adfecgdb,r01,1,38,152.0,9,9,0,0,100.0,99.92242048099301,0.6738986881220131,8.208549399322175,0.732636034262577,0.3830301886273615,0.008828981015768766,1.0,1.0,9.0,0.10630829420540697,3.0,0.9965999921162924,0.9989267289638519,0.0007639621793322802,oof,xanh
adfecgdb,r01,1,39,156.0,9,9,1,0,94.73684210526316,99.92242048099301,0.49820506435694367,30.107450777059782,0.7454246907029979,0.3650660433197369,0.05641584510727527,1.0,0.18181818181818182,10.0,0.09686593965828635,4.0,0.9370822504162788,0.9985542595386505,0.004526268442475388,oof,xanh
adfecgdb,r01,1,40,160.0,8,8,0,0,100.0,99.92242048099301,0.631254878266738,12.380247092293766,0.7508669284096274,0.3120953809637719,0.23715042038398335,0.8571428571428571,1.0,8.0,0.11607211188533267,3.0,0.9962113462388515,0.998274564743042,0.03969771166075329,oof,xanh
adfecgdb,r01,1,41,164.0,10,10,0,0,100.0,99.92242048099301,0.6763955046691242,10.771760046826,0.7599169773942481,0.36553432794954516,0.029111655130036048,1.0,0.9473684210526315,10.0,0.24123561569859517,3.0,0.9965431094169617,0.9986959099769592,0.00010933240564242625,oof,xanh
adfecgdb,r01,1,42,168.0,8,8,0,0,100.0,99.92242048099301,0.7075120055656645,10.668243181874287,0.754018754600361,0.2905048443270726,0.0372437036913639,1.0,1.0,8.0,0.187017999098429,3.0,0.9980966076254845,0.9990900754928589,0.00022224409639491258,oof,xanh
adfecgdb,r01,1,43,172.0,8,8,0,0,100.0,99.92242048099301,0.6816223038061788,11.442871779694693,0.7552601084098463,0.39601164138778067,0.020438345036486276,1.0,1.0,8.0,0.14795624167422664,3.0,0.9982269257307053,0.9988231062889099,0.00013171850324459442,oof,xanh
adfecgdb,r01,1,44,176.0,9,9,0,0,100.0,99.92242048099301,0.6806043405622452,11.927815768998332,0.7535731197866182,0.29156913038578697,0.014194910029842887,1.0,1.0,9.0,0.13470571172545,3.0,0.997870534658432,0.9990884065628052,0.00015897957906046907,oof,xanh
adfecgdb,r01,1,45,180.0,9,9,0,0,100.0,99.92242048099301,0.618185116540686,13.144456457295384,0.7485995575521694,0.2346992622444666,0.021340921731874997,1.0,1.0,9.0,0.15392021511260442,3.0,0.9978427357143826,0.9988794922828674,0.00028919923071887556,oof,xanh
adfecgdb,r01,1,46,184.0,9,9,0,0,100.0,99.92242048099301,0.7200025503725797,9.864948536971283,0.754854311228672,0.14897246224612506,0.011453342355800313,1.0,1.0,9.0,0.10632001370922534,3.0,0.9970178968376584,0.998917430639267,0.0004890683309834274,oof,xanh
adfecgdb,r01,1,47,188.0,10,10,0,0,100.0,99.92242048099301,0.6953958996146663,8.783530854283322,0.7648951875372589,0.1036662804306031,0.01480702937448031,1.0,1.0,10.0,0.2006361730573207,3.0,0.9922881960868836,0.9990283846855164,0.011358456407269945,oof,xanh
adfecgdb,r01,1,48,192.0,10,10,0,0,100.0,99.92242048099301,0.6924126965019537,10.854398481173623,0.7546847877900632,0.1263409682671913,0.01584208482853838,1.0,1.0,10.0,0.19536541973024651,3.0,0.9963849514722825,0.9985983967781067,0.002169092081129713,oof,xanh
adfecgdb,r01,1,49,196.0,9,9,0,0,100.0,99.92242048099301,0.7162466558664004,13.58652704638807,0.7858189982421008,0.32870537029010005,0.015268718486382588,1.0,0.75,9.0,0.082720649366276,3.0,0.9974786837895712,0.9988658428192139,0.0004257171080172188,oof,xanh
adfecgdb,r01,1,50,200.0,8,8,0,0,100.0,99.92242048099301,0.8193968100502982,6.74446965169189,0.7487655285793875,0.2344535180504322,0.0073809517656106185,1.0,0.9411764705882353,8.0,0.14698964152645455,3.0,0.9984522052109241,0.9988377690315247,0.0009325814600694647,oof,xanh
adfecgdb,r01,1,51,204.0,9,9,0,0,100.0,99.92242048099301,0.8870004100351541,5.894164129662736,0.7496248041580877,0.24491071780754825,0.012733816575773093,1.0,1.0,9.0,0.16396090880072023,3.0,0.9968836771117316,0.9986576735973358,0.015161794016990563,oof,xanh
adfecgdb,r01,1,52,208.0,10,10,0,0,100.0,99.92242048099301,0.8945031748208715,4.941122324543803,0.7676203811219826,0.17281409973366801,0.021397579292563702,1.0,0.8421052631578947,10.0,0.154516816843475,3.0,0.9764800250530243,0.9973902404308319,0.025511043302038176,oof,xanh
adfecgdb,r01,1,53,212.0,9,9,0,0,100.0,99.92242048099301,0.8582788284218382,6.7386072771866665,0.7541080317025721,0.3244804917672314,0.04757185193269283,1.0,1.0,9.0,0.16333916762134543,3.0,0.9868763917022281,0.9991277158260345,0.009797978848243225,oof,xanh
adfecgdb,r01,1,54,216.0,8,8,0,0,100.0,99.92242048099301,0.9210312902551064,6.8823146062975376,0.7461470305115138,0.31500615571004154,0.008636050959177093,1.0,1.0,8.0,0.11955555905175494,3.0,0.9978318512439728,0.9990871548652649,0.001004396283670617,oof,xanh
adfecgdb,r01,1,55,220.0,9,9,0,0,100.0,99.92242048099301,0.6545334375893842,30.206361442739656,0.6930706845658156,0.35378764530929996,0.014372441510244579,1.0,0.2,9.0,0.0675703633411046,3.0,0.9964062737094032,0.9987486600875854,0.0004951168906622608,oof,xanh
adfecgdb,r01,1,56,224.0,8,8,0,0,100.0,99.92242048099301,0.9056434187883804,6.5543182746967386,0.7523735687981616,0.46065121360533623,0.012494693322593278,1.0,1.0,8.0,0.10653229362223239,3.0,0.986897449940443,0.9989649057388306,0.06972135613963584,oof,vang
adfecgdb,r01,1,57,228.0,8,8,0,0,100.0,99.92242048099301,0.9842314918112093,6.194950953442085,0.7450247124971145,0.42982348964898515,0.01718581669107835,1.0,0.9411764705882353,8.0,0.18004568224593154,3.0,0.9971801266074181,0.9986177384853363,0.3124771671064208,oof,vang
adfecgdb,r01,1,58,232.0,9,9,0,0,100.0,99.92242048099301,0.8179429052159426,8.969979572150018,0.7383458761442635,0.4601251239581153,0.007041666221546371,1.0,1.0,9.0,0.12465115987534651,3.0,0.998324089580112,0.9991390705108643,0.003495246032766836,oof,xanh
adfecgdb,r01,1,59,236.0,8,8,0,0,100.0,99.92242048099301,0.8269739380677309,6.417061309749135,0.7551962917302394,0.4023369290342947,0.005420770854533407,1.0,1.0,8.0,0.16329173941598907,3.0,0.9956395141780376,0.9992795586585999,0.002143934343548208,oof,xanh
adfecgdb,r01,1,60,240.0,9,9,0,0,100.0,99.92242048099301,0.7755409359249349,7.465209091768337,0.7565291897660305,0.4034601486637375,0.009355932960230602,1.0,1.0,9.0,0.1200684640792095,3.0,0.997089296579361,0.9989344477653503,0.0012073662987225054,oof,xanh
adfecgdb,r01,1,61,244.0,8,8,0,0,100.0,99.92242048099301,0.9328986256787208,8.701011721717403,0.7540822138247252,0.41145936204333183,0.006092018534745673,1.0,1.0,8.0,0.09599607679949466,3.0,0.9976609833538532,0.9988430440425873,0.00027892670265285645,oof,xanh
adfecgdb,r01,1,62,248.0,9,9,0,0,100.0,99.92242048099301,0.742019020720765,7.178573028665767,0.75169876806753,0.395832385985175,0.007864473475164252,1.0,1.0,9.0,0.1167503959441284,3.0,0.9979695578416189,0.9991796612739563,0.00039795571633630047,oof,xanh
adfecgdb,r01,1,63,252.0,8,8,0,0,100.0,99.92242048099301,0.7910042054738735,9.841096181090249,0.7525039606773424,0.39999386843855583,0.007629137901475743,1.0,1.0,8.0,0.09361602195943003,3.0,0.9982988610863686,0.9991105198860168,5.524548859232158e-05,oof,xanh
adfecgdb,r01,1,64,256.0,8,8,0,0,100.0,99.92242048099301,0.8049675204978551,10.443419865420154,0.7481622902121987,0.4132960789398151,0.00414366221905563,1.0,1.0,8.0,0.16828891923820385,3.0,0.9981633797287941,0.9989297688007355,0.00015504460940679655,oof,xanh
adfecgdb,r01,1,65,260.0,9,9,0,0,100.0,99.92242048099301,0.7986086720774144,8.194720591445812,0.7524908327590079,0.40823941508997375,0.005830119751642269,1.0,1.0,9.0,0.18389388483873867,3.0,0.9976226290067037,0.9991067051887512,0.0007133842106553372,oof,xanh
adfecgdb,r01,1,66,264.0,8,8,0,0,100.0,99.92242048099301,0.4940801688642846,43.8218230617849,0.6866708612508348,0.40341347983742887,0.014624944253751299,1.0,0.2222222222222222,8.0,0.10455344281178774,4.0,0.9980028830468655,0.9990455508232117,0.0003818164694069359,oof,xanh
adfecgdb,r01,1,67,268.0,8,8,0,0,100.0,99.92242048099301,0.7926304843221557,9.047460155147,0.7545364652435821,0.37849071746863194,0.012126086833726943,1.0,1.0,8.0,0.16981514287765515,3.0,0.9943872094154358,0.9990411400794983,0.00503494572435825,oof,xanh
adfecgdb,r01,1,68,272.0,9,9,0,0,100.0,99.92242048099301,0.7620176455347175,7.35835816598631,0.7511667085713629,0.4090652497712651,0.007104305285374966,1.0,1.0,9.0,0.08623409799291272,3.0,0.9975144697560204,0.9992002844810486,0.001848325280377328,oof,xanh
adfecgdb,r01,1,69,276.0,8,8,0,0,100.0,99.92242048099301,0.8086402519897424,7.340406819804603,0.755623025982683,0.4221458719427811,0.006991549034572027,1.0,1.0,8.0,0.16861309606881197,3.0,0.9938023686408997,0.998908281326294,0.01404532431595806,oof,xanh
adfecgdb,r01,1,70,280.0,8,8,0,0,100.0,99.92242048099301,0.7864082846436306,9.638042865459925,0.7522817202300599,0.44949035460452647,0.007493548957729444,1.0,1.0,8.0,0.16878208993162266,3.0,0.9980145022273064,0.9991244673728943,0.0011868284198146447,oof,xanh
adfecgdb,r01,1,71,284.0,9,9,0,0,100.0,99.92242048099301,0.7623950690974025,9.049840010861889,0.7461711864408437,0.39293890210734744,0.008860304703636825,1.0,1.0,9.0,0.12158754596788685,3.0,0.997923324505488,0.9991954565048218,0.0014024031517848087,oof,xanh
adfecgdb,r01,1,72,288.0,8,8,0,0,100.0,99.92242048099301,0.8987133803922847,8.090494574440788,0.7422276069954591,0.3993293805821646,0.01121375056794979,1.0,1.0,8.0,0.11188347448520197,3.0,0.9980503693223,0.9991296529769897,0.0030238593281295754,oof,xanh
adfecgdb,r01,1,73,292.0,8,8,0,0,100.0,99.92242048099301,0.8040538384918113,8.781265072281265,0.7513569825462182,0.440131135436259,0.007565257560195604,1.0,0.9411764705882353,8.0,0.1965587765987862,3.0,0.9974725134670734,0.9988008737564087,0.08748908416372624,oof,vang
adfecgdb,r01,1,74,296.0,9,9,0,0,100.0,99.92242048099301,0.760336498652237,6.982776652966013,0.7446416809573319,0.39030537973194573,0.007653455611022046,1.0,1.0,9.0,0.1572637548935275,3.0,0.9980681041876475,0.9986079335212708,0.000970841630198922,oof,xanh
adfecgdb,r01,2,0,0.0,9,9,0,0,100.0,100.0,0.9620008608833157,7.366792079257163,0.7688108599408335,0.4065714450912052,0.0037088882388975797,1.0,0.9411764705882353,9.0,0.10334672984346344,3.0,0.9986981484625075,0.999531626701355,0.0062264919678801005,oof,xanh
adfecgdb,r01,2,1,4.0,8,8,0,0,100.0,100.0,0.9708471450702901,5.0297648920997595,0.7525597422692735,0.38576117173778285,0.0029871826131438045,1.0,1.0,8.0,0.13416776999223612,3.0,0.997526440769434,0.9992893636226654,0.006558720462349153,oof,xanh
adfecgdb,r01,2,2,8.0,9,9,0,0,100.0,100.0,1.1547896712715595,2.713899406839923,0.7451893403676344,0.4111858186727549,0.004310344827576921,1.0,0.5,9.0,0.05862076512858245,3.0,0.9983232849174075,0.9991408586502075,0.0005316926294064061,oof,xanh
adfecgdb,r01,2,3,12.0,9,9,0,0,100.0,100.0,1.0093655602766605,4.63908732343259,0.7478828654998283,0.34279738807622717,0.004385964912271088,1.0,0.9411764705882353,9.0,0.14268951763621196,3.0,0.998793386750751,0.999401330947876,0.007382584687542974,oof,xanh
adfecgdb,r01,2,4,16.0,8,8,0,0,100.0,100.0,0.9423833617508808,4.804595477870001,0.749071521774924,0.12262937088796698,0.004688793717751554,1.0,1.0,8.0,0.14513955769157025,3.0,0.9979005232453346,0.9990816116333008,0.000757867403940145,oof,xanh
adfecgdb,r01,2,5,20.0,9,9,0,0,100.0,100.0,0.9976588641227462,2.945712566801622,0.7536627354503527,0.3826281353749749,0.010924533439257651,1.0,0.6666666666666666,9.0,0.13131226456562703,3.0,0.9984183443917168,0.9992775321006775,0.020821843738429248,oof,xanh
adfecgdb,r01,2,6,24.0,9,9,0,0,100.0,100.0,0.8887131750717829,5.214594497187731,0.7451559622538965,0.22599429002562707,0.005714365682632567,1.0,0.875,9.0,0.13077435120370237,3.0,0.9984529217084249,0.9993906021118164,0.005790048740982151,oof,xanh
adfecgdb,r01,2,7,28.0,8,8,0,0,100.0,100.0,0.9676863690076508,3.9537854757179867,0.7310672666495687,0.3759817962180808,0.006203186756182349,1.0,0.7142857142857143,8.0,0.07247693954313533,3.0,0.9963476248085499,0.9988874793052673,0.0039753771590377305,oof,xanh
adfecgdb,r01,2,8,32.0,9,9,0,0,100.0,100.0,1.09008940807074,2.656394809689419,0.7557601709547194,0.41022426534576867,0.0037409304699031055,1.0,0.7777777777777778,9.0,0.05066276651367202,3.0,0.9983812570571899,0.9992309808731079,0.0008045106044724173,oof,xanh
adfecgdb,r01,2,9,36.0,8,8,0,0,100.0,100.0,1.04692119542893,3.322458469831452,0.7634148455135535,0.39988470266054743,0.005467158869180918,1.0,0.6666666666666666,8.0,0.09556489316404519,3.0,0.9986218549311161,0.9993255138397217,0.006332340027202441,oof,xanh
adfecgdb,r01,2,10,40.0,9,9,0,0,100.0,100.0,1.073274588301607,3.1650505172293864,0.7597585456583725,0.36713999079387066,0.004124582903300445,1.0,0.5,9.0,0.06399078025502651,3.0,0.9983249836497836,0.9991276860237122,0.001590408151805398,oof,xanh
adfecgdb,r01,2,11,44.0,8,8,0,0,100.0,100.0,1.0121864549406605,3.481681301414474,0.7603356480021587,0.3438069339909932,0.005407661372418496,1.0,0.625,8.0,0.0944151345698966,3.0,0.9986023418605328,0.9992524981498718,0.00313652758001209,oof,xanh
adfecgdb,r01,2,12,48.0,9,9,0,0,100.0,100.0,1.0649664235614258,3.6700319428664603,0.7673026189029863,0.3005931768057369,0.005641260791170422,1.0,0.8888888888888888,9.0,0.07061568248305695,3.0,0.9986066420873007,0.999014288187027,0.0013961080020758437,oof,xanh
adfecgdb,r01,2,13,52.0,8,8,0,0,100.0,100.0,0.9592514741755374,3.9096084797900996,0.7408400150432686,0.11825030094192553,0.006018402316407651,1.0,0.6666666666666666,8.0,0.11528891346230295,3.0,0.9968662671744823,0.9993702471256256,0.01860217047023457,oof,xanh
adfecgdb,r01,2,14,56.0,9,9,0,0,100.0,100.0,1.080152247300042,4.30743500441222,0.7661180779193563,0.12050157501036061,0.005714365682632567,1.0,0.7777777777777778,9.0,0.15660177607343506,3.0,0.998257127073076,0.9993773102760315,0.00281272874686334,oof,xanh
adfecgdb,r01,2,15,60.0,9,9,0,0,100.0,100.0,1.0068873453571547,3.3740835798357853,0.7559744568721607,0.16057488428463432,0.009526467757016625,1.0,0.8,9.0,0.11857208477567655,3.0,0.9982694486776987,0.9991803765296936,0.009734775659913524,oof,xanh
adfecgdb,r01,2,16,64.0,8,8,0,0,100.0,100.0,1.0829777325341499,3.410685973284135,0.7527172885348882,0.016743586957745298,0.012921862325074142,1.0,1.0,8.0,0.1005327532416887,3.0,0.9975546523928642,0.9988164901733398,0.0008321178199181643,oof,xanh
adfecgdb,r01,2,17,68.0,9,9,0,0,100.0,100.0,1.1862248982025303,1.7431324386412044,0.762724195471041,0.026974312578311035,0.03227479088456792,1.0,0.8888888888888888,9.0,0.15253209168381449,3.0,0.9952718714872996,0.9989458918571472,0.0415266192122408,oof,xanh
adfecgdb,r01,2,18,72.0,8,8,0,0,100.0,100.0,1.0496069872543172,3.3092633213586087,0.7525483394521144,0.04150614488955115,0.0038053882793763214,1.0,1.0,8.0,0.11559932303659776,3.0,0.9983008429408073,0.9988239407539368,0.0003639065898839728,oof,xanh
adfecgdb,r01,2,19,76.0,8,8,0,0,100.0,100.0,1.059971331247557,2.816089913468012,0.7666550591816745,0.02106433225173682,0.008928881200891711,1.0,0.875,8.0,0.10656419230186394,3.0,0.998694334179163,0.9993281364440918,0.0014062310474145777,oof,xanh
adfecgdb,r01,2,20,80.0,9,9,0,0,100.0,100.0,0.9512715334893879,6.027522199854403,0.7409374114216816,0.08618031125410716,0.008547008546990248,1.0,0.5333333333333333,9.0,0.11594147766427094,3.0,0.997808833916982,0.9992566704750061,0.0011965124101113384,oof,xanh
