record,group,seg,t0_s,n_gt,TP,FP,FN,F1,bad,p_bad_oof,sampen,kurtosis,spec_entropy,band_ratio,rr_cv,rr_plaus,bsqi,n_det,psd_fhr,tau_acf,peak_prob_mean,prob_max
r01,PhysioNet,64,256.0,8,8,0,0,100.000000,0,0.001368,0.570879,13.6508,0.715287,0.45544,0.00414366,1,0.875,8,0.139743,3,0.997542,0.998909
r01,PhysioNet,65,260.0,9,9,0,0,100.000000,0,0.003890,0.489694,8.87968,0.72979,0.509139,0.00811946,1,0.888889,9,0.186393,3,0.997967,0.998819
r01,PhysioNet,66,264.0,8,8,0,0,100.000000,0,0.008127,0.46152,7.53068,0.686755,0.441053,0.0107291,1,0.625,8,0.0625538,4,0.998396,0.99887
r01,PhysioNet,67,268.0,8,8,0,0,100.000000,0,0.000483,0.607126,13.2194,0.748422,0.509709,0.00693336,1,1,8,0.209285,3,0.998753,0.999008
r01,PhysioNet,68,272.0,9,9,0,0,100.000000,0,0.000301,0.62209,11.2302,0.74993,0.538374,0.00829876,1,1,9,0.209178,3,0.998573,0.999108
r01,PhysioNet,69,276.0,8,8,0,0,100.000000,0,0.000683,0.638463,10.4757,0.750072,0.527363,0.00699155,1,0.875,8,0.181964,3,0.998083,0.99902
r01,PhysioNet,70,280.0,8,8,0,0,100.000000,0,0.000395,0.622135,12.893,0.751565,0.53773,0.00410439,1,1,8,0.174428,3,0.998664,0.999115
r01,PhysioNet,71,284.0,9,9,0,0,100.000000,0,0.000390,0.522085,9.19083,0.715534,0.495283,0.00504294,1,0.888889,9,0.061689,3,0.998534,0.999079
r01,PhysioNet,72,288.0,8,8,0,0,100.000000,0,0.000612,0.67157,13.6248,0.73919,0.499717,0.00765141,1,1,8,0.165598,3,0.998483,0.999088
r01,PhysioNet,73,292.0,8,8,0,0,100.000000,0,0.003194,0.62245,11.3733,0.748398,0.511357,0.00609931,1,0.941176,8,0.190944,3,0.998453,0.998946
r01,PhysioNet,74,296.0,9,9,0,0,100.000000,0,0.001661,0.608722,12.8911,0.75479,0.517307,0.00584386,1,1,9,0.192888,3,0.998773,0.999137
r04,PhysioNet,0,0.0,9,9,0,0,100.000000,0,0.001409,0.646029,7.37713,0.714919,0.379528,0.00811946,1,1,9,0.170856,3,0.997573,0.998229
r04,PhysioNet,1,4.0,8,8,0,0,100.000000,0,0.004779,0.638142,8.41292,0.725678,0.257891,0.0172297,1,1,8,0.167407,3,0.996799,0.99813
r04,PhysioNet,2,8.0,8,8,0,0,100.000000,0,0.006722,0.602986,8.39708,0.71878,0.399783,0.0136315,1,1,8,0.132013,3,0.995264,0.99819
r04,PhysioNet,3,12.0,8,8,0,0,100.000000,0,0.002369,0.595161,7.84958,0.706342,0.128695,0.00890871,1,0.941176,8,0.176313,3,0.997745,0.998379
r04,PhysioNet,4,16.0,9,9,0,0,100.000000,0,0.001966,0.6753,6.87244,0.720569,0.0218744,0.00907013,1,1,9,0.231893,3,0.997458,0.998205
r04,PhysioNet,5,20.0,8,8,0,0,100.000000,0,0.001316,0.569756,22.3458,0.672394,0.0374337,0.0090834,1,0.222222,8,0.157452,4,0.99417,0.997992
r04,PhysioNet,6,24.0,9,9,0,0,100.000000,0,0.005128,0.678122,6.09352,0.72288,0.226629,0.0110322,1,1,9,0.145504,3,0.996585,0.997336
r04,PhysioNet,7,28.0,8,8,0,0,100.000000,0,0.022935,0.766925,5.93634,0.712664,0.0519622,0.00533032,1,1,8,0.188052,3,0.996739,0.997813
r04,PhysioNet,8,32.0,8,8,0,0,100.000000,0,0.042023,0.737404,5.29195,0.720431,0.0355869,0.0106534,1,1,8,0.176065,3,0.996321,0.998116
r04,PhysioNet,9,36.0,9,9,0,0,100.000000,0,0.009543,0.558368,21.5151,0.65122,0.0402925,0.012148,1,0.2,9,0.135573,4,0.995991,0.998113
r04,PhysioNet,10,40.0,8,8,0,0,100.000000,0,0.000893,0.674575,7.44474,0.70244,0.353723,0.00898357,1,1,8,0.150102,3,0.997358,0.998078
r04,PhysioNet,11,44.0,8,8,0,0,100.000000,0,0.001766,0.647157,8.34271,0.708959,0.25339,0.00758869,1,1,8,0.238612,3,0.997087,0.998136
r04,PhysioNet,12,48.0,9,9,0,0,100.000000,0,0.018040,0.603877,9.88121,0.700686,0.32786,0.00706041,1,0.941176,9,0.205219,3,0.996539,0.998049
r04,PhysioNet,13,52.0,8,8,0,0,100.000000,0,0.003230,0.641622,6.9293,0.719779,0.418291,0.00629941,1,1,8,0.236149,3,0.997602,0.998196
r04,PhysioNet,14,56.0,8,8,0,0,100.000000,0,0.001316,0.509277,27.1291,0.647278,0.00509242,0.00528621,1,0.222222,8,0.109254,4,0.995929,0.997675
r04,PhysioNet,15,60.0,8,8,0,0,100.000000,0,0.008716,0.713108,6.68434,0.716098,0.200705,0.00410925,1,0.933333,8,0.208715,3,0.996156,0.997803
r04,PhysioNet,16,64.0,9,9,0,0,100.000000,0,0.001111,0.62579,6.58728,0.715826,0.474003,0.00798553,1,1,9,0.143093,3,0.997057,0.998154
r04,PhysioNet,17,68.0,8,8,0,0,100.000000,0,0.001542,0.306944,28.21,0.608585,0.329642,0.00946395,1,0.4,8,0.104609,4,0.995118,0.998207
r04,PhysioNet,18,72.0,8,8,0,0,100.000000,0,0.001159,0.456192,12.4515,0.642387,0.181606,0.00609931,1,0.333333,8,0.064313,4,0.988293,0.997546
r04,PhysioNet,19,76.0,9,9,0,0,100.000000,0,0.001365,0.417157,12.2144,0.609782,0.362929,0.0087137,1,0.153846,9,0.0778755,4,0.995874,0.997856
r04,PhysioNet,20,80.0,8,8,0,0,100.000000,0,0.000751,0.567863,18.3991,0.607206,0.302323,0.00570312,1,0,8,0.0445554,4,0.994701,0.997469
r04,PhysioNet,21,84.0,8,8,0,0,100.000000,0,0.009106,0.496222,11.1982,0.602869,0.238417,0.0363752,1,0,8,0.0534648,4,0.98997,0.997142
r04,PhysioNet,22,88.0,7,6,1,1,85.714286,0,0.861477,1.1069,2.8034,0.758522,0.268079,0.138082,0.833333,0.705882,7,0.0244954,3,0.962411,0.990967
r04,PhysioNet,23,92.0,7,7,0,0,100.000000,0,0.169157,0.668399,29.7156,0.762958,0.375337,0.0374989,1,0.25,7,0.0733522,4,0.964128,0.992788
r04,PhysioNet,24,96.0,7,7,0,0,100.000000,0,0.016984,0.512459,28.3057,0.61495,0.363034,0.0170683,1,0.444444,7,0.0687065,4,0.967067,0.993607
r04,PhysioNet,25,100.0,7,7,0,0,100.000000,0,0.015578,0.974528,5.15572,0.746588,0.359305,0.02883,1,1,7,0.107195,3,0.98603,0.996578
r04,PhysioNet,26,104.0,8,8,0,0,100.000000,0,0.005614,0.939645,3.55417,0.7504,0.361133,0.0245006,1,1,8,0.115585,3,0.992368,0.99673
r04,PhysioNet,27,108.0,8,8,0,0,100.000000,0,0.028379,0.795335,5.96994,0.740195,0.408253,0.0165582,1,1,8,0.165087,3,0.995764,0.997602
r04,PhysioNet,28,112.0,8,8,0,0,100.000000,0,0.001406,0.434988,17.9782,0.614616,0.0412095,0.00619614,1,0.363636,8,0.109642,4,0.995073,0.996974
r04,PhysioNet,29,116.0,9,9,0,0,100.000000,0,0.007777,0.46569,22.1191,0.611057,0.309484,0.0122901,1,0.181818,9,0.0598032,4,0.995815,0.998074
r04,PhysioNet,30,120.0,8,8,0,0,100.000000,0,0.048052,0.873278,6.97693,0.739248,0.397444,0.00850517,1,1,8,0.2025,3,0.995362,0.997393
r04,PhysioNet,31,124.0,8,8,0,0,100.000000,0,0.295624,0.869381,6.55994,0.755327,0.160322,0.0149727,1,1,8,0.203448,3,0.996536,0.998168
r04,PhysioNet,32,128.0,8,8,0,0,100.000000,0,0.019345,0.784385,7.28455,0.712396,0.263138,0.0131938,1,1,8,0.149718,3,0.996734,0.997354
r04,PhysioNet,33,132.0,8,8,0,0,100.000000,0,0.001514,0.528415,26.5484,0.714748,0.383355,0.00776019,1,0,8,0.11913,4,0.996327,0.997625
r04,PhysioNet,34,136.0,9,9,0,0,100.000000,0,0.019004,0.696162,5.54075,0.724961,0.505141,0.00578939,1,0.941176,9,0.186523,3,0.996485,0.998044
r04,PhysioNet,35,140.0,9,9,0,0,100.000000,0,0.011307,0.481503,26.9598,0.730873,0.0206381,0.0131761,1,0,9,0.108613,4,0.995755,0.998202
r04,PhysioNet,36,144.0,8,8,0,0,100.000000,0,0.001353,0.396843,24.8314,0.604906,0.217227,0.00860513,1,0.2,8,0.124036,4,0.992738,0.997479
r04,PhysioNet,37,148.0,9,9,0,0,100.000000,0,0.044348,0.704631,5.75248,0.7384,0.228238,0.00963822,1,0.888889,9,0.191558,3,0.996477,0.997423
r04,PhysioNet,38,152.0,8,8,0,0,100.000000,0,0.001225,0.57532,31.2954,0.627939,0.147015,0.00304663,1,0,8,0.140434,4,0.994857,0.997547
r04,PhysioNet,39,156.0,9,9,0,0,100.000000,0,0.001421,0.959108,3.7848,0.745358,0.0169566,0.00870333,1,0.888889,9,0.0801411,3,0.99451,0.997091
r04,PhysioNet,40,160.0,10,10,0,0,100.000000,0,0.051947,1.06687,3.564,0.755867,0.301282,0.0138886,1,1,10,0.179726,3,0.996748,0.99779
r04,PhysioNet,41,164.0,9,9,0,0,100.000000,0,0.014306,0.668983,28.1624,0.739578,0.239097,0.0118333,1,0,9,0.119542,4,0.995528,0.997752
r04,PhysioNet,42,168.0,10,10,0,0,100.000000,0,0.011045,0.568468,17.7679,0.657538,0.395801,0.0159037,1,0,9,0.0414138,4,0.994987,0.997601
r04,PhysioNet,43,172.0,9,9,0,0,100.000000,0,0.003531,0.967238,4.37826,0.740232,0.451974,0.0101931,1,0.777778,10,0.140871,3,0.99451,0.997465
r04,PhysioNet,44,176.0,9,9,0,0,100.000000,0,0.011076,0.648138,23.8399,0.679296,0.487036,0.0241655,1,0.2,9,0.0876872,4,0.993766,0.997518
r04,PhysioNet,45,180.0,9,9,0,0,100.000000,0,0.011810,0.856124,4.26297,0.742347,0.231756,0.0124267,1,0.823529,9,0.148954,3,0.996662,0.997523
r04,PhysioNet,46,184.0,9,9,0,0,100.000000,0,0.015619,0.609847,30.994,0.75585,0.411835,0.0207936,1,0.2,9,0.109805,4,0.994827,0.997764
r04,PhysioNet,47,188.0,9,9,0,0,100.000000,0,0.011919,0.859613,5.47701,0.736844,0.44001,0.0079818,1,1,9,0.177065,3,0.996984,0.998071
r04,PhysioNet,48,192.0,10,10,0,0,100.000000,0,0.003732,0.811222,5.83987,0.751049,0.41586,0.00892248,1,1,10,0.172791,3,0.99611,0.998291
r04,PhysioNet,49,196.0,9,9,0,0,100.000000,0,0.001024,0.579797,38.5865,0.662061,0.139265,0.0062253,1,0.2,9,0.112392,4,0.996262,0.997759
r04,PhysioNet,50,200.0,10,10,0,0,100.000000,0,0.014500,0.846473,4.95654,0.747813,0.297461,0.00645161,1,1,10,0.202278,3,0.996753,0.997554
r04,PhysioNet,51,204.0,9,9,0,0,100.000000,0,0.011645,0.653021,30.0218,0.671796,0.327117,0.0137302,1,0,9,0.0682445,4,0.993944,0.997112
r04,PhysioNet,52,208.0,9,9,0,0,100.000000,0,0.011812,0.680548,32.3434,0.69061,0.336187,0.0190207,1,0,9,0.0981044,4,0.996634,0.997748
r04,PhysioNet,53,212.0,9,8,1,1,88.888889,0,0.981128,0.662179,8.22047,0.742182,0.354455,0.178067,0.875,0.307692,9,0.0188793,3,0.943787,0.99327
r04,PhysioNet,54,216.0,8,8,0,0,100.000000,0,0.000811,0.517338,22.5799,0.654035,0.161144,0.00879777,1,0,8,0.0587931,4,0.9928,0.997421
r04,PhysioNet,55,220.0,7,7,0,0,100.000000,0,0.016931,0.46328,19.9501,0.697033,0.350602,0.0298367,1,0.222222,7,0.116819,4,0.993113,0.996499
r04,PhysioNet,56,224.0,9,9,0,0,100.000000,0,0.030745,0.77971,4.6225,0.737401,0.247191,0.0146165,1,0.888889,9,0.135774,3,0.995053,0.997549
r04,PhysioNet,57,228.0,8,8,0,0,100.000000,0,0.245425,0.749911,6.12337,0.723595,0.0591636,0.0194403,1,1,8,0.187694,4,0.996424,0.997969
r04,PhysioNet,58,232.0,8,8,0,0,100.000000,0,0.218299,0.858299,5.76356,0.726507,0.316698,0.0276017,1,1,8,0.190065,3,0.995417,0.99766
r04,PhysioNet,59,236.0,8,8,0,0,100.000000,0,0.009099,0.776389,4.07656,0.722961,0.281662,0.0164407,1,1,8,0.0965643,3,0.996339,0.997489
r04,PhysioNet,60,240.0,8,8,0,0,100.000000,0,0.013073,0.741097,4.53325,0.725409,0.149152,0.0110026,1,1,8,0.142579,3,0.996211,0.998266
r04,PhysioNet,61,244.0,9,9,0,0,100.000000,0,0.014173,0.710062,3.82271,0.71998,0.270719,0.0187905,1,0.888889,9,0.144384,3,0.996998,0.997922
r04,PhysioNet,62,248.0,8,8,0,0,100.000000,0,0.021663,0.752752,6.03437,0.727377,0.23665,0.0140859,1,1,8,0.0819251,3,0.99668,0.997797
r04,PhysioNet,63,252.0,8,8,0,0,100.000000,0,0.018382,0.446484,45.8069,0.63281,0.406477,0.0173656,1,0.222222,8,0.105287,4,0.995879,0.997521
r04,PhysioNet,64,256.0,9,9,0,0,100.000000,0,0.015918,0.75118,5.51923,0.745428,0.137585,0.00852551,1,1,9,0.190533,3,0.996387,0.997706
r04,PhysioNet,65,260.0,8,8,0,0,100.000000,0,0.011141,0.3332,27.1126,0.631796,0.214077,0.0120544,1,0.2,8,0.103754,4,0.994482,0.997589
r04,PhysioNet,66,264.0,8,8,0,0,100.000000,0,0.030562,0.793935,4.99898,0.730881,0.220741,0.0116671,1,0.941176,8,0.143682,3,0.996414,0.99778
r04,PhysioNet,67,268.0,9,9,0,0,100.000000,0,0.013084,0.759796,4.49728,0.735805,0.07944,0.0155255,1,1,9,0.13116,3,0.99629,0.997364
r04,PhysioNet,68,272.0,8,8,0,0,100.000000,0,0.004613,0.707486,6.19631,0.712426,0.470546,0.00591664,1,0.941176,8,0.148988,3,0.996502,0.99768
r04,PhysioNet,69,276.0,9,9,0,0,100.000000,0,0.012267,0.708567,5.90393,0.741671,0.525114,0.0124267,1,0.888889,9,0.156299,3,0.997031,0.997994
r04,PhysioNet,70,280.0,8,8,0,0,100.000000,0,0.016263,0.744601,6.36217,0.728457,0.104418,0.0164417,1,1,8,0.138794,3,0.996946,0.998146
r04,PhysioNet,71,284.0,9,9,0,0,100.000000,0,0.003729,0.498223,32.9256,0.734857,0.47876,0.00852551,1,0.5,9,0.171836,4,0.996063,0.99803
r04,PhysioNet,72,288.0,8,8,0,0,100.000000,0,0.022630,0.398424,44.1623,0.625528,0.320442,0.0124414,1,0.222222,8,0.170734,4,0.995553,0.997879
r04,PhysioNet,73,292.0,8,8,0,0,100.000000,0,0.016742,0.695257,6.41935,0.718633,0.519972,0.0103047,1,0.941176,8,0.191714,3,0.995815,0.997611
r04,PhysioNet,74,296.0,9,9,0,0,100.000000,0,0.008697,0.688316,7.47454,0.718573,0.266486,0.0177829,1,0.823529,9,0.0911115,3,0.9962,0.996777
r07,PhysioNet,0,0.0,9,9,0,0,100.000000,0,0.006475,0.460036,30.0791,0.649334,0.405717,0.0104781,1,0,8,0.222796,4,0.996325,0.997718
r07,PhysioNet,1,4.0,8,8,0,0,100.000000,0,0.000595,0.589602,7.41426,0.716415,0.189766,0.00508572,1,0.941176,9,0.158832,3,0.996934,0.998335
r07,PhysioNet,2,8.0,8,8,0,0,100.000000,0,0.000451,0.682225,5.20096,0.708633,0.0500541,0.00540766,1,1,8,0.131081,3,0.997096,0.997855
r07,PhysioNet,3,12.0,9,9,0,0,100.000000,0,0.000451,0.661697,5.9595,0.719779,0.169011,0.00604365,1,1,9,0.143748,3,0.996599,0.997759
r07,PhysioNet,4,16.0,9,9,0,0,100.000000,0,0.000879,0.505352,24.6509,0.648525,0.0827499,0.00512923,1,0,9,0.101216,4,0.997307,0.998338
r07,PhysioNet,5,20.0,8,8,0,0,100.000000,0,0.003885,0.688925,7.95124,0.722103,0.356476,0.00898357,1,0.941176,8,0.171557,3,0.996682,0.997869
r07,PhysioNet,6,24.0,8,8,0,0,100.000000,0,0.002703,0.491518,27.8492,0.626355,0.44385,0.00298718,1,0.222222,8,0.112736,4,0.993316,0.997535
r07,PhysioNet,7,28.0,9,9,0,0,100.000000,0,0.012363,0.622958,7.61944,0.720416,0.281294,0.00825796,1,0.941176,9,0.189764,3,0.995474,0.997631
r07,PhysioNet,8,32.0,8,8,0,0,100.000000,0,0.012927,0.568808,7.9642,0.700239,0.470465,0.00706782,1,1,8,0.197285,3,0.997254,0.998004
